Timestamp,Title,Description,URL,Type(s) filters,Tag(s) filters,Workstream(s) filters,Published date,Source
4/22,"Physical Distancing Fairy visits Army bases in Germany to raise awareness, lift spirits","Stockton, dressed as the winged and bespectacled creature with a silvery bouffant, colorful cloth face covering and white gloves, visited places where people gather on base, such as the post office and dining facility, to remind them of disease prevention measures in a memorable way. ",https://www.stripes.com/news/europe/it-just-took-off-physical-distancing-fairy-visits-army-bases-in-germany-to-raise-awareness-lift-spirits-1.626816,news,"awareness, innovation",,4/16/2020,
4/22/2020 10:46:20,Imagine Hurricane Katrina during a pandemic. The US needs to prepare for that — now.,Craig Fugate on what happens when we overlay Katrina event with COVID,https://www.vox.com/2020/4/21/21222687/coronavirus-covid-19-hurricane-planning-preparedness-emergency-managers-disaster,NEWS,"Hurricane, evacuation",Mass Care,4/21/2020,Vox
9/23/2020 14:25:06,“You Wouldn’t Treat Animals Like This”: These Seniors Were Abandoned When Hurricane Laura Hit,Louisiana seniors,https://www.buzzfeednews.com/article/briannasacks/seniors-left-behind-hurricane-laura-lake-charles,article,seniors,,9/23/2020,Buzzfeed
10/28/2020 13:56:47,Rethinking the future of volunteering?,The future of volunteering,https://future-rcrc.com/2018/12/05/rethinking-the-future-of-volunteering/,thought piece,volunteers,Volunteerism,12/5/2018,Solferino Academy
10/28/2020 15:48:18, Reflections of a humanitarian bureaucrat,Rethinking bureaucracy,https://blogs.icrc.org/law-and-policy/2020/01/09/reflections-humanitarian-bureaucrat/,opinion,bureaucracy,,1/9/2020,ICRC Humanitarian Law and Policy Blog
4/16/2020,COVID Symptom Tracker,"Take 1 minute each day and help fight the spread of COVID-19 in your community: Report your health daily even if you feel well; Get a daily estimate of COVID in your area; Help slow the outbreak near you. Join millions of people supporting scientists at Stanford University, Harvard University, Massachusetts General Hospital, and King's College London to help fight coronavirus by identifying: How fast the virus is spreading in your area; High-risk areas in the US; Who is most at risk, by better understanding symptoms linked to underlying health conditions.",https://covid.joinzoe.com/,"research, tool",crowdsourced,,,
4/9/2020,"HealthLandscape - Potential Family Medicine Office Closures and Economic Impact, April - June","This mapping tool highlights potential impact of family medicine physicians closing practices related to the COVID-19 pandemic. Potential causes of attrition include loss of revenue, drastic reduction in hours and staff, and reassignment of physicians to hospital-based COVID-19 care.",https://healthlandscape.org/covid19/,map,"map, analysis, viz",,,HealthLandscape
4/9/2020,Neither A Black Swan Nor A Zombie Apocalypse: The Futures Of A World With The Covid-19 Coronavirus - Journal of Futures Studies,"""In conclusion: this crisis is a health crisis but, of course, it is much more. It is about leadership and governance , about what type of world we wish to live in. It is a test of the creation of a planetary civilization, working together to solve problems. If we do not succeed, the next ‘Corona’ is just around the corner."" ",https://jfsdigital.org/2020/03/18/neither-a-black-swan-nor-a-zombie-apocalypse-the-futures-of-a-world-with-the-covid-19-coronavirus/,research,"analysis, futures",,,Journal of Futures Studies
4/9/2020,Yuval Noah Harari: the world after coronavirus - Financial Times,"When choosing between alternatives, we should ask ourselves not only how to overcome the immediate threat, but also what kind of world we will inhabit once the storm passes. Yes, the storm will pass, humankind will survive, most of us will still be alive — but we will inhabit a different world. ",https://www.ft.com/content/19d90308-6858-11ea-a3c9-1fe6fedcca75,research,"analysis, futures",,,Financial Times
4/6/2020,Large photo names badges to counteract PPE coverage of face,"Anecdote of an ER doctor that has created a large, laminated name badge with picture of them smiling so that patients can see a reassuring and comforting smile and not just the doctor's PPE covered face. ",https://twitter.com/sbernsteinmd/status/1246811704606023680,tool,,,,
4/3/2020,Tip Sheet on the Responsible Use of Online Conferencing Tools,The ICRC Data Protection Office and partners have developed this tip sheet to support the responsible use of online conferencing tools by humanitarians around the world.,https://www.icrc.org/en/publication/tip-sheet-responsible-use-online-conferencing-tools,guide,responsible tech,,,ICRC
